amount,previous_successes,previous_failures,retry_count,customer_age_days,payment_method,failure_type,hour,recovered
7898.4,8,0,2,753,NetBanking,network,4,1
4894.98,10,4,3,476,NetBanking,declined,22,1
3891.41,13,0,2,772,Wallet,network,12,0
7944.7,20,1,3,997,UPI,declined,16,0
3386.75,3,3,0,548,Wallet,temporary,23,1
8722.24,4,0,3,810,NetBanking,expired,19,0
6533.38,10,5,3,987,NetBanking,network,17,1
777.37,20,5,2,242,UPI,network,3,0
7068.52,3,3,1,720,NetBanking,temporary,1,1
655.58,11,2,3,159,Card,network,18,0
1882.56,5,0,3,644,Card,network,18,1
4665.38,8,3,2,692,UPI,network,9,0
1663.96,14,2,2,664,Wallet,expired,14,0
2072.25,12,3,0,252,Wallet,expired,18,1
7022.86,0,5,3,291,UPI,temporary,19,0
8345.11,9,1,2,234,Card,expired,21,0
7697.96,4,5,0,935,UPI,expired,14,1
3712.13,4,0,2,344,Wallet,declined,6,1
5440.14,11,4,2,860,Card,expired,15,0
3021.9,10,0,3,996,UPI,declined,7,0
7269.75,12,4,2,102,Wallet,temporary,8,1
4602.38,8,4,3,852,NetBanking,temporary,21,1
347.74,17,2,1,673,UPI,network,22,1
4142.13,4,0,0,321,Wallet,temporary,3,1
5421.71,12,3,2,696,Wallet,declined,13,0
8353.56,19,3,2,43,NetBanking,declined,14,0
2437.52,11,0,2,567,NetBanking,temporary,12,1
9685.25,14,0,1,667,UPI,temporary,10,1
1346.65,18,1,0,859,Card,declined,7,1
1560.79,19,0,2,889,Card,declined,17,1
1827.52,0,1,0,376,Card,expired,0,1
618.75,13,4,0,773,UPI,network,14,0
5181.06,3,3,1,978,UPI,expired,14,0
408.39,15,3,3,712,UPI,network,22,0
827.56,2,2,1,77,Card,expired,19,0
5528.73,10,3,2,474,Wallet,temporary,22,1
6581.66,17,5,1,450,Wallet,declined,13,1
4589.64,13,5,0,330,Wallet,expired,21,1
9540.57,15,0,0,861,UPI,temporary,13,1
7414.08,4,4,0,610,NetBanking,temporary,13,1
6686.87,13,5,0,304,NetBanking,expired,3,0
2206.11,15,1,0,368,NetBanking,temporary,8,1
8091.49,17,4,0,633,NetBanking,temporary,5,1
7647.85,10,2,0,195,Card,network,2,1
6368.4,0,0,1,395,Wallet,network,10,1
3185.21,10,4,0,914,UPI,declined,5,0
592.65,2,2,3,687,Wallet,network,19,0
2804.35,16,0,2,450,UPI,expired,21,0
4917.66,9,0,1,414,UPI,temporary,6,1
2191.22,4,2,2,345,UPI,temporary,15,0
1839.38,12,4,1,522,NetBanking,temporary,12,1
518.79,0,3,0,892,NetBanking,network,18,1
6437.4,9,0,3,31,NetBanking,declined,19,0
6927.14,11,0,3,874,UPI,declined,13,0
5287.23,12,2,2,236,NetBanking,declined,2,0
1228.86,16,1,2,369,Card,declined,3,1
2052.99,19,1,0,191,Wallet,network,18,1
4544.16,18,5,2,894,NetBanking,declined,14,1
4477.86,9,2,0,370,UPI,expired,14,1
663.21,9,0,0,639,Wallet,network,18,1
7939.0,1,3,1,339,Wallet,declined,1,0
8128.57,10,5,0,526,Card,temporary,7,1
9910.76,16,4,1,382,NetBanking,expired,12,1
3449.83,19,0,2,77,NetBanking,temporary,17,0
2913.06,19,1,2,93,Card,expired,9,0
7014.95,12,1,0,327,Wallet,expired,4,0
8306.69,16,0,3,530,NetBanking,temporary,11,1
9516.58,10,3,1,241,Card,declined,2,1
7902.39,16,4,0,687,NetBanking,declined,19,1
1706.25,19,1,3,54,Wallet,expired,21,0
9698.93,19,2,3,249,Card,expired,15,0
2020.76,18,3,3,797,NetBanking,network,16,1
9666.05,6,4,1,903,NetBanking,temporary,20,1
3775.0,3,5,0,301,UPI,declined,8,0
5182.19,13,0,1,846,Wallet,expired,0,1
4024.89,11,1,3,93,NetBanking,declined,0,1
1080.92,20,2,1,150,UPI,expired,15,0
1474.05,15,3,0,937,UPI,temporary,8,1
1580.24,19,4,3,123,NetBanking,declined,9,1
2460.55,20,4,3,74,UPI,network,19,0
6356.35,18,1,1,308,Wallet,temporary,19,1
5749.57,5,5,0,546,NetBanking,temporary,16,1
7885.48,16,4,0,409,Wallet,temporary,20,1
3795.69,0,2,0,363,Card,temporary,18,0
3391.93,1,2,2,843,Card,network,22,0
1904.55,4,0,3,47,NetBanking,declined,1,0
8869.32,10,2,3,844,Wallet,expired,1,0
1991.92,11,0,2,289,UPI,expired,13,0
7458.75,12,2,1,518,Wallet,expired,16,1
917.85,13,0,3,626,Card,expired,10,1
3346.41,9,2,3,627,Wallet,declined,22,0
4526.58,11,4,3,291,UPI,temporary,21,1
3696.78,5,0,1,879,Wallet,temporary,4,1
7807.3,11,2,3,982,UPI,declined,21,0
3772.55,14,0,1,552,NetBanking,network,10,1
2571.16,3,0,1,521,Wallet,temporary,8,1
7069.97,6,4,2,720,Wallet,declined,3,1
833.12,5,5,3,99,NetBanking,expired,22,1
5467.5,9,1,1,822,NetBanking,declined,3,0
7941.45,7,3,0,379,NetBanking,network,17,1
8854.04,2,2,3,744,Wallet,network,13,0
830.13,10,5,0,470,Wallet,expired,4,0
7824.6,20,4,1,796,Card,network,16,0
648.59,3,4,1,321,Card,declined,10,0
2332.16,16,2,0,266,Card,expired,4,0
6182.84,2,4,1,616,Card,declined,21,0
9029.81,10,4,0,855,UPI,temporary,1,0
7733.12,8,5,1,795,Wallet,temporary,15,0
5501.22,20,2,3,260,Wallet,expired,14,1
693.14,14,3,3,485,Card,expired,19,1
8628.7,10,5,2,418,Card,expired,16,0
3259.25,14,0,2,470,Card,declined,3,1
9459.31,19,3,1,995,Card,expired,18,0
1979.36,5,3,3,520,NetBanking,network,0,1
3993.1,14,1,1,607,NetBanking,temporary,1,1
6015.44,20,5,3,302,UPI,temporary,13,1
2718.28,11,3,2,56,Wallet,temporary,18,0
3688.99,9,0,3,526,Wallet,expired,19,0
1276.23,3,3,2,823,NetBanking,expired,4,0
5140.31,16,0,0,49,Card,expired,15,1
1574.51,16,1,2,963,NetBanking,declined,12,0
7419.26,9,4,2,529,Wallet,expired,15,0
3746.74,3,3,2,825,UPI,network,8,0
7850.75,18,4,1,748,UPI,network,5,1
7239.71,12,1,1,42,UPI,declined,0,1
4245.92,13,5,1,430,Wallet,temporary,22,1
2152.68,10,5,3,548,Wallet,expired,5,0
5377.96,17,2,2,634,Wallet,declined,7,1
3055.14,9,2,1,716,Wallet,expired,15,1
9343.63,8,2,0,597,Wallet,network,11,0
8065.7,9,0,2,988,UPI,expired,14,0
7498.65,6,1,2,965,NetBanking,declined,3,0
5909.62,7,0,1,663,Card,temporary,3,1
7201.84,3,5,1,15,Card,network,20,0
8796.16,15,5,1,784,NetBanking,expired,9,0
9088.58,2,5,1,557,UPI,declined,13,0
1840.31,1,3,3,200,NetBanking,temporary,0,1
6067.55,10,2,3,666,Wallet,declined,16,0
2008.83,3,2,1,758,Wallet,expired,22,1
7392.52,9,4,1,189,Wallet,network,16,1
4068.25,3,1,1,498,NetBanking,declined,0,1
2431.66,8,2,2,606,UPI,expired,20,0
2439.4,3,3,2,173,Wallet,expired,22,0
9169.69,9,2,1,234,Card,network,4,1
9889.5,11,3,3,785,Card,declined,21,0
8744.04,2,4,3,550,NetBanking,temporary,18,1
8304.86,16,1,1,178,NetBanking,network,3,1
7197.49,15,0,3,838,UPI,network,4,1
4622.3,1,4,3,698,NetBanking,temporary,12,1
129.85,6,4,0,56,Wallet,expired,22,1
9941.82,2,3,0,303,Wallet,declined,4,0
9785.5,20,3,2,922,Wallet,network,12,1
6859.03,17,1,2,131,Card,network,16,1
9789.37,0,0,2,484,Wallet,network,7,1
3526.98,8,1,0,42,Wallet,temporary,7,1
1098.88,1,3,0,260,UPI,network,14,1
2250.97,1,1,2,249,NetBanking,expired,7,0
1518.28,16,1,3,317,NetBanking,temporary,17,0
8809.17,5,5,3,579,Wallet,temporary,11,0
6746.29,16,2,3,428,Card,expired,12,1
5425.49,7,1,2,888,Card,network,1,1
9681.08,17,4,1,407,Card,expired,6,1
882.8,14,2,0,558,Card,temporary,8,1
6089.2,1,0,1,833,Card,network,6,0
3396.35,0,1,1,995,UPI,network,7,0
7067.31,12,1,2,804,NetBanking,network,14,1
3656.67,8,2,3,487,UPI,network,10,0
3769.98,13,0,1,769,Card,temporary,8,1
5881.92,13,2,1,210,NetBanking,declined,12,0
2532.73,17,5,2,273,Wallet,network,14,1
7970.26,5,1,3,198,UPI,temporary,2,0
6715.33,0,3,1,872,Card,temporary,22,1
2265.32,14,2,0,642,Wallet,network,0,1
5561.27,0,0,2,558,NetBanking,temporary,16,0
6772.93,5,0,0,546,Card,declined,6,1
2598.94,11,2,3,90,NetBanking,network,14,0
9903.31,7,2,0,679,UPI,temporary,12,1
5571.74,1,5,0,729,Card,temporary,15,0
6484.58,10,4,0,926,UPI,declined,6,0
6953.65,18,3,2,57,UPI,expired,17,0
425.73,10,0,1,611,Card,network,2,1
5683.19,18,3,2,403,Card,temporary,16,0
3524.01,3,3,1,868,UPI,expired,19,0
9553.1,12,2,0,659,NetBanking,network,15,1
5575.07,12,3,1,706,Wallet,temporary,19,1
2539.85,2,0,2,167,Wallet,declined,23,0
3670.93,2,0,2,465,NetBanking,expired,3,1
1955.18,14,4,3,115,UPI,temporary,11,1
6009.55,10,3,0,308,Wallet,network,2,1
5639.41,7,4,1,711,Wallet,declined,4,1
2757.23,4,0,1,455,NetBanking,network,9,1
861.52,8,1,3,618,Card,network,3,1
167.0,12,2,3,833,NetBanking,network,10,1
8253.0,20,4,1,317,NetBanking,declined,15,1
9649.29,10,2,3,1000,Card,expired,12,1
7880.08,11,0,1,616,Card,temporary,23,1
7112.83,14,2,0,848,Wallet,network,4,1
2496.01,4,5,3,818,Wallet,temporary,14,0
4844.42,12,4,3,566,UPI,expired,22,0
5415.37,20,0,0,797,Card,expired,5,1
538.54,20,5,3,1000,NetBanking,network,3,1
2661.51,16,5,1,466,NetBanking,network,14,1
5927.04,16,1,2,35,Wallet,temporary,9,1
9621.11,3,5,1,366,NetBanking,expired,14,0
5259.04,11,3,0,458,Wallet,expired,2,1
8120.84,3,0,2,673,UPI,declined,23,0
1827.09,5,2,3,991,Wallet,declined,12,0
1945.23,13,3,0,765,Card,network,18,1
144.06,6,1,2,780,UPI,temporary,17,1
3327.25,14,0,2,696,Wallet,expired,19,1
3986.19,3,2,2,875,Wallet,declined,21,0
3044.7,19,4,0,698,Card,expired,3,1
1257.79,11,5,1,533,Wallet,network,19,1
3898.73,5,3,1,578,Card,network,9,1
3214.34,14,4,0,896,NetBanking,temporary,15,1
8170.64,17,4,3,428,Wallet,network,22,0
4938.13,2,4,0,824,Card,expired,1,1
5422.33,5,3,3,572,UPI,temporary,8,0
8250.5,11,4,0,788,Wallet,declined,13,1
8317.7,7,2,0,470,NetBanking,expired,2,1
9940.18,7,1,2,891,Wallet,declined,19,1
2145.53,6,0,2,555,NetBanking,declined,10,0
2997.08,18,2,0,148,Wallet,temporary,8,0
1356.19,4,1,1,738,NetBanking,declined,21,1
1507.5,20,2,3,394,Wallet,temporary,20,0
7711.95,12,4,2,721,NetBanking,network,15,1
124.48,2,5,3,660,NetBanking,temporary,17,1
9684.47,6,3,2,340,NetBanking,expired,17,0
5704.81,15,2,0,57,UPI,network,0,1
8590.75,14,3,0,991,Wallet,declined,22,0
8833.26,9,1,2,105,NetBanking,expired,2,0
9047.62,5,0,3,650,NetBanking,declined,13,0
7066.61,0,1,3,89,Card,declined,16,0
191.94,10,0,3,720,Card,network,2,1
984.38,3,0,2,386,NetBanking,declined,12,0
7556.26,4,5,1,80,UPI,declined,14,0
2209.25,4,3,3,890,Card,temporary,3,1
1319.26,12,2,3,332,Card,declined,8,0
2556.85,19,4,2,807,UPI,expired,6,0
5144.27,12,2,0,812,Card,network,12,1
5045.87,19,0,0,379,NetBanking,declined,12,0
5726.97,11,4,1,791,Wallet,temporary,0,1
236.55,6,0,0,981,Wallet,expired,20,0
7694.39,13,5,3,94,Card,expired,2,0
5161.92,6,1,2,410,UPI,expired,22,1
9538.94,7,0,1,98,Wallet,temporary,14,1
644.78,5,0,0,734,Card,temporary,5,1
3532.38,16,5,2,180,NetBanking,declined,23,0
2760.77,3,0,2,836,Wallet,expired,16,1
7152.0,18,5,0,518,Wallet,expired,1,1
5712.17,11,1,2,801,UPI,temporary,7,1
125.43,0,1,0,493,NetBanking,network,4,1
9607.39,1,4,3,239,NetBanking,declined,13,0
3267.36,2,4,2,132,UPI,declined,7,0
9816.0,12,0,3,896,NetBanking,expired,10,1
4621.79,11,1,2,587,NetBanking,declined,14,1
9721.39,6,5,1,164,UPI,network,0,1
3529.59,0,2,0,787,Wallet,expired,3,1
9832.85,13,3,0,155,NetBanking,temporary,1,0
8983.15,16,3,2,479,UPI,temporary,16,1
8217.63,2,4,0,455,Card,declined,9,1
3218.59,12,5,2,335,Wallet,expired,7,1
2106.86,18,0,1,118,Card,network,14,1
1295.29,11,1,3,325,Wallet,expired,3,1
8095.21,9,5,0,230,NetBanking,declined,2,0
9687.16,12,4,0,703,NetBanking,expired,5,1
4103.48,14,4,1,106,Wallet,temporary,4,1
710.52,7,1,1,853,Wallet,expired,21,1
6482.38,18,4,2,949,UPI,temporary,2,1
6495.27,4,0,2,135,UPI,network,1,1
5781.45,12,3,0,401,Wallet,declined,11,1
1952.8,8,3,1,45,Card,expired,15,1
5551.82,1,0,2,402,Card,network,6,0
7992.26,7,5,0,401,NetBanking,network,17,0
3505.94,18,4,2,407,NetBanking,declined,0,1
2268.3,8,0,3,552,NetBanking,declined,5,1
6602.96,8,4,0,792,Card,network,11,0
9916.27,5,1,1,616,NetBanking,expired,18,1
7035.55,18,4,1,586,Card,network,17,1
4955.32,2,0,1,626,Card,temporary,16,1
3384.17,19,1,1,358,Card,expired,1,1
5907.43,4,0,2,993,UPI,expired,22,0
4016.4,3,2,2,340,Card,declined,23,0
7939.24,15,5,2,188,NetBanking,declined,21,0
1835.98,9,5,2,140,Card,temporary,22,0
3976.85,18,0,1,626,NetBanking,declined,20,1
9373.21,4,2,0,253,NetBanking,expired,5,0
9634.49,20,5,2,467,UPI,expired,6,1
771.17,8,0,0,59,Wallet,network,23,1
1746.75,13,3,3,369,Wallet,temporary,15,0
5822.75,7,1,3,85,UPI,expired,0,1
9521.46,2,2,1,919,Wallet,declined,23,1
9424.16,2,2,3,731,UPI,network,20,1
8908.56,5,0,0,349,Card,declined,13,0
7248.18,17,2,2,314,Card,temporary,1,1
5541.66,15,1,0,379,UPI,network,2,1
6654.0,19,3,1,109,UPI,declined,5,0
9772.87,15,0,2,813,Wallet,network,15,0
2723.54,20,4,3,199,NetBanking,network,11,1
541.71,14,3,2,241,NetBanking,temporary,4,0
6707.94,2,5,2,837,Wallet,declined,17,1
3932.35,16,3,3,596,Card,network,9,1
9037.49,1,4,1,133,Wallet,declined,5,0
8103.76,4,0,3,90,Wallet,declined,20,0
5990.97,10,5,0,99,Wallet,network,17,1
2834.39,14,0,3,125,Wallet,declined,4,0
5868.5,3,0,0,814,NetBanking,expired,13,1
6582.4,18,4,3,48,Card,expired,12,1
6125.69,12,0,3,920,NetBanking,declined,1,0
9216.27,11,0,2,847,NetBanking,expired,8,0
8596.52,3,1,1,317,Wallet,expired,8,0
6089.29,2,1,3,226,Wallet,network,16,0
8228.07,16,1,0,328,Wallet,declined,16,0
386.59,6,1,0,265,UPI,network,1,0
7075.88,8,2,3,527,Wallet,temporary,21,1
3787.42,19,3,1,993,Wallet,expired,11,1
8955.47,2,2,0,405,UPI,declined,18,0
2221.75,7,5,1,703,Card,expired,20,1
298.52,0,3,1,672,Card,temporary,7,1
8070.35,9,5,2,443,Wallet,expired,14,1
4720.31,16,4,3,608,UPI,temporary,16,0
9668.21,11,4,2,315,UPI,network,2,1
2837.18,10,2,2,681,NetBanking,declined,4,0
2478.99,1,4,3,686,NetBanking,declined,23,1
5023.99,9,2,3,424,Wallet,temporary,18,0
5763.22,6,2,1,712,Wallet,expired,16,1
1782.87,17,1,2,109,Wallet,declined,23,1
8102.6,5,5,2,680,UPI,declined,11,1
8727.18,13,2,2,276,NetBanking,network,3,1
8677.29,18,4,0,493,Card,temporary,21,1
3053.72,1,1,1,215,NetBanking,network,18,0
9867.83,4,2,1,807,UPI,network,10,0
1850.56,20,0,0,472,NetBanking,declined,5,1
1668.51,2,1,3,658,Wallet,network,13,0
3894.83,1,4,1,758,NetBanking,temporary,10,0
5357.23,0,5,0,651,Card,declined,22,0
3189.71,3,3,2,181,UPI,temporary,9,0
4613.67,16,4,2,454,Card,expired,15,0
1965.42,12,0,1,239,Card,declined,23,1
5095.87,3,2,0,394,NetBanking,temporary,19,0
6653.5,20,0,0,716,UPI,network,14,1
5518.1,15,5,1,220,UPI,expired,13,0
6658.58,8,4,1,438,UPI,temporary,9,1
1152.01,6,4,1,806,NetBanking,declined,11,0
3023.98,1,4,3,942,Card,network,10,1
226.22,2,0,3,162,UPI,temporary,23,0
9057.32,20,1,3,313,NetBanking,network,1,1
1829.55,1,2,2,830,NetBanking,network,23,1
8527.33,1,0,1,689,Card,expired,11,0
9555.38,8,5,0,391,NetBanking,declined,3,1
9626.87,8,3,3,829,Wallet,declined,3,1
7291.47,5,0,3,943,Wallet,network,5,1
7813.73,19,0,1,504,Wallet,temporary,13,1
727.03,20,2,0,731,Card,expired,16,1
7035.74,3,3,1,503,NetBanking,network,4,0
5627.61,19,0,0,668,Card,network,15,1
841.17,15,2,1,348,NetBanking,temporary,16,1
6468.84,12,1,0,480,Wallet,network,2,1
4525.97,3,3,0,115,Wallet,network,1,0
101.68,2,4,2,921,Card,network,10,0
637.32,7,3,2,583,Wallet,expired,22,0
1064.63,7,0,2,373,NetBanking,expired,22,1
8979.08,15,1,3,119,NetBanking,declined,6,1
8536.72,6,3,1,743,NetBanking,temporary,13,1
6369.08,18,0,3,478,Card,network,0,1
580.86,13,4,3,956,Card,declined,23,0
1125.18,19,4,2,526,Wallet,network,19,0
7647.51,8,3,2,311,Wallet,declined,4,0
7030.14,16,2,2,738,Card,declined,6,0
2976.74,11,5,1,737,Card,expired,22,1
3587.15,15,4,3,700,NetBanking,network,0,1
350.19,4,0,0,214,NetBanking,declined,9,0
1549.64,1,5,2,218,UPI,expired,14,1
8693.55,17,1,3,253,NetBanking,temporary,12,1
9571.35,10,4,0,23,NetBanking,declined,19,0
8618.4,14,1,2,783,Card,declined,9,0
9836.19,2,1,1,762,UPI,network,1,1
5610.33,4,1,2,15,NetBanking,network,22,0
495.41,10,4,0,802,NetBanking,network,18,1
821.52,10,4,1,989,Card,temporary,16,1
5476.49,12,0,2,236,Card,expired,10,1
2262.61,19,4,3,584,UPI,temporary,21,1
2479.44,20,4,1,991,UPI,expired,12,0
9455.38,12,2,2,35,NetBanking,network,15,1
8992.99,6,2,0,980,UPI,declined,17,1
6306.64,6,5,1,895,Wallet,temporary,6,1
7057.15,13,5,0,774,Card,temporary,14,1
475.07,2,0,1,823,NetBanking,temporary,18,0
9118.77,13,3,3,655,Wallet,network,10,1
6765.66,17,0,0,784,UPI,temporary,11,1
1150.74,9,4,0,298,Wallet,network,12,0
405.11,5,4,1,149,Wallet,expired,20,1
6805.16,20,2,0,576,Card,temporary,1,1
6006.88,17,4,0,322,Card,expired,6,1
6494.72,16,1,1,198,Card,expired,6,1
6742.68,18,0,3,670,UPI,expired,21,1
1072.2,18,3,2,375,Card,declined,3,1
791.11,6,2,3,471,NetBanking,expired,22,0
5698.96,11,2,3,182,UPI,expired,7,0
7150.77,20,3,2,870,NetBanking,declined,21,0
8791.07,14,3,2,803,NetBanking,network,17,1
6490.96,2,2,1,922,Card,expired,23,0
856.98,2,0,0,842,Wallet,declined,1,0
5480.35,17,3,1,384,Wallet,declined,18,0
2980.89,14,4,0,416,NetBanking,temporary,21,1
9643.6,19,5,1,785,Card,network,5,1
9492.25,4,5,3,971,NetBanking,temporary,7,0
2394.32,8,2,1,53,Card,expired,12,0
4600.97,1,0,2,115,NetBanking,expired,18,0
1821.11,20,3,2,611,UPI,expired,12,0
2306.7,12,2,2,508,Wallet,temporary,16,0
4455.0,7,0,2,226,Card,declined,5,1
7201.3,3,5,1,434,NetBanking,temporary,15,0
4842.31,18,1,3,32,Card,temporary,4,1
1695.18,20,4,0,922,Card,temporary,5,1
1882.37,12,4,0,909,NetBanking,temporary,6,1
9928.48,15,1,1,860,Wallet,declined,18,0
1900.65,16,2,1,751,NetBanking,network,19,1
2375.16,12,1,0,26,Card,network,4,1
1856.48,19,4,0,908,UPI,temporary,15,1
9029.65,17,0,3,544,Wallet,expired,1,0
4346.67,15,3,2,613,UPI,network,4,1
7682.0,2,2,3,273,Card,temporary,22,0
170.43,16,0,0,394,Card,expired,13,1
1632.31,20,4,2,277,Wallet,expired,19,1
6838.0,6,3,3,193,NetBanking,network,8,0
5818.75,12,5,1,885,UPI,declined,14,0
9497.53,3,1,3,814,NetBanking,temporary,5,1
6395.18,2,1,3,958,Wallet,temporary,2,1
3771.27,19,0,3,963,Wallet,expired,22,0
668.88,5,5,3,459,UPI,declined,21,0
5229.72,6,0,1,639,Card,temporary,11,1
102.84,5,0,2,808,Wallet,expired,21,1
5902.19,16,0,0,951,UPI,expired,23,0
9158.59,11,2,2,241,Card,network,12,0
2684.96,13,4,0,582,UPI,expired,10,0
8049.13,8,4,2,720,Wallet,network,18,1
2508.41,10,3,3,928,UPI,network,3,1
3888.47,7,5,1,829,NetBanking,network,11,1
196.26,8,1,2,105,Wallet,expired,2,0
1867.01,10,2,1,925,NetBanking,declined,23,0
9108.28,15,5,1,250,Card,expired,6,1
8365.91,19,2,1,807,UPI,temporary,2,1
6667.9,19,0,0,878,Wallet,expired,19,1
8991.4,18,2,3,197,NetBanking,network,7,0
1369.63,16,3,3,972,UPI,expired,12,0
7781.45,14,0,3,333,UPI,temporary,21,1
5851.98,10,2,2,201,NetBanking,declined,8,0
6169.53,11,1,3,444,Card,network,22,0
3714.27,12,2,3,194,Card,declined,3,0
8060.47,17,3,3,210,Card,declined,15,0
1848.41,15,1,2,814,Wallet,expired,8,0
5721.56,12,0,1,71,Card,expired,15,0
1053.39,10,2,2,378,NetBanking,expired,0,0
3575.8,19,1,1,809,NetBanking,expired,10,0
4926.19,14,0,3,638,NetBanking,network,20,0
8695.75,20,2,3,656,Wallet,temporary,2,1
2359.36,10,5,2,737,NetBanking,network,8,0
7831.64,11,5,3,433,Card,declined,0,1
2422.81,8,5,0,225,Card,network,3,1
9374.26,15,4,0,36,Wallet,temporary,3,1
1637.22,20,3,2,244,Card,expired,14,0
1399.64,5,0,0,689,NetBanking,expired,15,1
